[
'rtvee', 'https://artvee.com/'
'Lona', 'https://lona-web.org'
'Pageres', 'https://github.com/sindresorhus/pageres-cli'
'Clipmenu', 'https://github.com/cdown/clipmenu'
'Bat', 'https://www.cyberciti.biz/open-source/bat-linux-command-a-cat-clone-with-written-in-rust/'
'Sqlitebiter', 'https://sqlitebiter.readthedocs.io/en/latest/pages/usage/file/index.html'
'CliFlix', 'https://github.com/fabiospampinato/cliflix'
'Rich', 'https://rich.readthedocs.io'
'Orator', 'https://orator-orm.com'
'Hiapl', 'https://github.com/marianoguerra/hiapl'
'Fire', 'https://github.com/google/python-fire/blob/master/examples/identity/identity.py'
'LocalTunnel', 'https://localtunnel.github.io/www/'
'Flake8', 'https://flake8.pycqa.org/en/3.1.1/index.html'
'Parsel', 'https://parsel.readthedocs.io/en/latest/usage.html#nesting-selectors'
'Questionary', 'https://questionary.readthedocs.io'
'Ls-colors', 'https://tinyurl.com/ybboeh4e'
'txt2html', 'https://tinyurl.com/yfwqzxlc'
'Ripgrep', 'https://www.mankier.com/1/rg'
'ButterBlog', 'https://blog.buttermouth.com/'
'Upskill', 'https://upskill.pt'
'FuzzyWuzzy', 'https://github.com/seatgeek/fuzzywuzzy'
'PHP-CS_FIXER', 'https://tinyurl.com/yz57k4x6'
'ManyBooks', 'https://manybooks.net/'
'Logo-ls', 'https://github.com/Yash-Handa/logo-ls'
'Cherrypy', 'https://docs.cherrypy.org'
'Bookcut', 'https://github.com/costis94/bookcut'
'AutoExpect', 'http://expect.sourceforge.net/example/autoexpect.man.html'
'Deezer', 'https://www.deezer.com'
'Visidata', 'https://www.visidata.org/docs/customize/'
'EverSQL', 'https://www.eversql.com/sql-syntax-check-validator/'
'Ferret', 'https://github.com/wincent/ferret'
'Transformer', 'https://transfonter.org'
'Questionnaire', 'https://github.com/kylebebak/questionnaire'
'Arrow', 'https://arrow.readthedocs.io/en/latest/'
'Selenium', 'https://www.selenium.dev/documentation/'
'Pixlet', 'https://www.pxlet.com'
'Pysnooper', 'https://github.com/cool-RR/PySnooper'
'Snoop', 'https://github.com/alexmojaki/snoop'
'Boxes', 'https://github.com/cdgriffith/Box'
'Pytermgui', 'https://github.com/bczsalba/pytermgui'
'Black', 'https://black.readthedocs.io/en/stable/index.html'
'Textual', 'https://github.com/willmcgugan/textual'
'Pyenv', 'https://github.com/pyenv/pyenv'
'Zlibrary', 'https://b-ok.cc/'
]
